Ticker,Company Name,Theme,Sub Theme,Assignment
EPD,Enterprise Products Partners L.P.,Energy - Traditional,Energy Base - Refining & Midstream Infrastructure,Primary
EPR,EPR Properties,Real Estate & REITs,"Real Estate - Travel, Leisure & Entertainment Properties",Primary
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate & REITs,Real Estate - Retail & Consumer Real Estate,Primary
EQH,"Equitable Holdings, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
EQH,"Equitable Holdings, Inc.",Financials - Traditional,"Fin Trad - Asset Management, Custody & Alternatives",Secondary
EQIX,Equinix Inc,Telecommunications,Telecom - Cloud & Edge Connectivity,Primary
EQIX,Equinix Inc,Cloud Computing,Cloud - Data Centers & Infrastructure,Secondary
EQNR,Equinor Asa,Energy - Traditional,Energy Base - Integrated Energy Majors,Primary
EQT,Eqt Corp,Commodities - Energy,Comm Energy - Natural Gas & LNG,Primary
ERIC,Ericsson Lm Telephone Co,Hardware,Hardware - Communications & Telecom,Primary
ERIE,Erie Indemnity Co,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
ERII,"Energy Recovery, Inc.",Environmental Sustainability,Environmental - Clean Technologies & Pollution Control,Primary
ERO,Ero Copper Corp.,Commodities - Metals,Comm Metals - Industrial & Base Metals,Primary
ES,Eversource Energy,Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,Primary
ESAB,ESAB Corp,Industrials & Construction,"Industrials - Machinery, Flow Control & Components",Primary
ESNT,Essent Group Ltd.,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
ESS,"Essex Property Trust, Inc.",Real Estate & REITs,"Real Estate - Housing, Urban Living & Demographics",Primary
ESTC,Elastic N.V.,Cybersecurity,Cybersecurity - Cloud Security,Primary
ESTC,Elastic N.V.,Cloud Computing,Cloud - Hyperscalers & Platforms,Secondary
ET,Energy Transfer Lp,Energy - Traditional,Energy Base - Refining & Midstream Infrastructure,Primary
ET,Energy Transfer Lp,Commodities - Energy,Comm Energy - Natural Gas & LNG,Secondary
ETN,Eaton Corp Plc,Energy - Renewable,Energy Clean - Smart Grid & Electrification,Primary
ETN,Eaton Corp Plc,Hardware,Hardware - Data Center Infrastructure & Servers,Secondary
ETOR,eToro Group Ltd. - Class A,FinTech & Digital Finance,FinTech - Trading Platforms & WealthTech,Primary
ETR,Entergy Corp /De/,Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,Primary
ETSY,Etsy Inc,E-commerce,E-commerce - Online Marketplaces & Recommerce,Primary
EVER,"Everquote, Inc.",FinTech & Digital Finance,FinTech - InsurTech & Embedded Insurance,Primary
EVGO,Evgo Inc.,Electric Vehicles & Mobility,EVs - Charging & Infrastructure,Primary
EVH,"Evolent Health, Inc.",Healthcare & Biotech,"Healthcare - IT, Services & Data Infrastructure",Primary
EVLV,"Evolv Technologies Holdings, Inc.",Cybersecurity,"Cybersecurity - Identity, Biometrics & Access Management",Primary
EVR,Evercore Inc.,Financials - Traditional,Fin Trad - Capital Markets & Investment Banking,Primary
EVRG,"Evergy, Inc.",Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,Primary
EW,Edwards Lifesciences Corp,Healthcare & Biotech,Healthcare - Medical Devices & HealthTech Hardware,Primary
EWBC,"East West Bancorp, Inc.",Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",Primary
EXC,Exelon Corp,Energy - Renewable,Energy Clean - Smart Grid & Electrification,Primary
EXC,Exelon Corp,Energy - Renewable,Energy Clean - Utilities & Clean Power Operators,Secondary
EXE,Expand Energy Corp,Commodities - Energy,Comm Energy - Natural Gas & LNG,Primary
EXEL,"Exelixis, Inc.",Healthcare & Biotech,Healthcare - Oncology & Precision Cancer Therapeutics,Primary
EXK,Endeavour Silver Corp,Commodities - Metals,Comm Metals - Precious Metals,Primary
EXLS,"Exlservice Holdings, Inc.",Business Services & Consulting,"Business Services - Outsourcing, Facilities & Testing",Primary
EXLS,"Exlservice Holdings, Inc.",Artificial Intelligence,"AI - Apps, Domain-Specific AI",Secondary
EXP,Eagle Materials Inc.,Industrials & Construction,Industrials - Construction Materials & Aggregates,Primary
EXPD,Expeditors International Of Washington Inc,Transportation & Logistics,"Transportation - Logistics, Warehousing & Supply Chain Solutions",Primary
EXPE,"Expedia Group, Inc.",Consumer Goods & Retail,Consumer - Resale & Sharing Platforms,Primary
EXPE,"Expedia Group, Inc.",Real Estate & REITs,"Real Estate - Travel, Leisure & Entertainment Properties",Secondary
EXPO,"Exponent, Inc.",Business Services & Consulting,Consulting,Primary
EXR,Extra Space Storage Inc.,Real Estate & REITs,Real Estate - Retail & Consumer Real Estate,Primary
EXTR,Extreme Networks Inc,Hardware,Hardware - Networking Equipment,Primary
F,Ford Motor Co,Electric Vehicles & Mobility,EVs - Manufacturers,Primary
FAF,First American Financial Corp,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
FANG,"Diamondback Energy, Inc.",Energy - Traditional,Energy Base - Oil & Gas Exploration & Production,Primary
FANG,"Diamondback Energy, Inc.",Commodities - Energy,Comm Energy - Crude Oil,Secondary
FAST,Fastenal Co,Industrials & Construction,Industrials - Distribution & Rental Services,Primary
FATE,Fate Therapeutics Inc,Healthcare & Biotech,"Healthcare - Regenerative Medicine, Psychedelics, Cannabis",Primary
FBIN,"Fortune Brands Innovations, Inc.",Industrials & Construction,Industrials - Building Products & HVAC,Primary
FCEL,Fuelcell Energy Inc,Energy - Renewable,Energy Clean - Hydrogen & Fuel Cells,Primary
FCFS,"Firstcash Holdings, Inc.",Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",Primary
FCN,"FTI Consulting, Inc.",Business Services & Consulting,Consulting,Primary
FCPT,"Four Corners Property Trust, Inc.",Real Estate & REITs,Real Estate - Retail & Consumer Real Estate,Primary
FCX,Freeport-Mcmoran Inc,Energy - Renewable,Energy Clean - Materials & Critical Metals,Primary
FCX,Freeport-Mcmoran Inc,Commodities - Metals,Comm Metals - Industrial & Base Metals,Secondary
FDS,Factset Research Systems Inc,Big Data & Analytics,"Big Data - Data Generation, Sourcing & Providers",Primary
FDX,Fedex Corp,Industrial Automation & Robotics,Automation - Smart Logistics & Warehouse Automation,Primary
FDX,Fedex Corp,Transportation & Logistics,"Transportation - Logistics, Warehousing & Supply Chain Solutions",Secondary
FDXF,FedEx Freight Corp,Transportation & Logistics,"Transportation - Trucking, LTL & Ground Freight",Primary
FE,Firstenergy Corp,Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,Primary
FERG,Ferguson Enterprises Inc.,Industrials & Construction,Industrials - Distribution & Rental Services,Primary
FERG,Ferguson Enterprises Inc.,Industrials & Construction,Industrials - Building Products & HVAC,Secondary
FF,Futurefuel Corp.,Commodities - Agriculture,"Comm Agri - Grains, Oilseeds & Softs",Primary
FFIN,"First Financial Bankshares, Inc.",Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",Primary
FFIV,"F5, Inc.",Cybersecurity,Cybersecurity - Application Security,Primary
FFIV,"F5, Inc.",Cloud Computing,Cloud - Multi-Cloud Management,Secondary
FHI,"Federated Hermes, Inc.",Financials - Traditional,"Fin Trad - Asset Management, Custody & Alternatives",Primary
FHN,First Horizon Corp,Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",Primary
FICO,Fair Isaac Corp,Big Data & Analytics,"Big Data - Analytics, AI Platforms & BI",Primary
FIG,"Figma, Inc. Class A",Software,Software - Vertical SaaS Platforms,Primary
FIS,"Fidelity National Information Services, Inc.",FinTech & Digital Finance,FinTech - Digital Banking & Neobanks,Primary
FIS,"Fidelity National Information Services, Inc.",FinTech & Digital Finance,FinTech - Digital Payments & Merchant Infrastructure,Secondary
FISV,"Fiserv, Inc. -",FinTech & Digital Finance,FinTech - Digital Payments & Merchant Infrastructure,Primary
FITB,Fifth Third Bancorp,Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",Primary
FIVE,"Five Below, Inc.",E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",Primary
FIX,"Comfort Systems USA, Inc.",Industrials & Construction,Industrials - Engineering & Construction,Primary
FIX,"Comfort Systems USA, Inc.",Cloud Computing,Cloud - Data Centers & Infrastructure,Secondary
FLEX,Flex Ltd.,Hardware,Hardware - Data Center Infrastructure & Servers,Primary
FLEX,Flex Ltd.,Industrial Automation & Robotics,Automation - Factory & Process Automation Systems,Secondary
FLG,"Flagstar Financial, Inc.",Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",Primary
FLNC,"Fluence Energy, Inc.",Energy - Renewable,Energy Clean - Batteries & Storage,Primary
FLO,"Flowers Foods, Inc.",Consumer Goods & Retail,"Consumer - Health, Food & Beverages",Primary
FLR,Fluor Corp,Industrials & Construction,Industrials - Engineering & Construction,Primary
FLS,Flowserve Corp,Industrials & Construction,"Industrials - Machinery, Flow Control & Components",Primary
FLUT,Flutter Entertainment Plc,Digital Entertainment & Media,"Entertainment - Sports Betting, Wagering & Prediction Markets",Primary
FLUT,Flutter Entertainment Plc,Digital Entertainment & Media,Entertainment - iGaming & Online Gambling,Secondary
FLY,Firefly Aerospace Inc. -,Space Tech,"Space - Infrastructure, Exploration & Launch",Primary
FMC,Fmc Corp,Agriculture & FoodTech,Agriculture - Agricultural Inputs & Crop Science,Primary
FMC,Fmc Corp,Commodities - Agriculture,"Comm Agri - Fertilizers, Crop Inputs & Seeds",Secondary
FN,Fabrinet,Hardware,Hardware - Communications & Telecom,Primary
FN,Fabrinet,Hardware,Hardware - Data Center Infrastructure & Servers,Secondary
FNB,F.N.B. Corp,Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",Primary
FND,"Floor & Decor Holdings, Inc.",E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",Primary
FND,"Floor & Decor Holdings, Inc.",Industrials & Construction,Industrials - Building Products & HVAC,Secondary
FNF,"Fidelity National Financial, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
FNV,Franco Nevada Corp,Commodities - Metals,Comm Metals - Gold,Primary
FNV,Franco Nevada Corp,Commodities - Metals,Comm Metals - Precious Metals,Secondary
FORM,Formfactor Inc,Semiconductors,"Semis - Testing, Packaging & Assembly",Primary
FOUR,"Shift4 Payments, Inc.",FinTech & Digital Finance,FinTech - Digital Payments & Merchant Infrastructure,Primary
FOXA,Fox Corp,Digital Entertainment & Media,Entertainment - Video Streaming,Primary
FOXA,Fox Corp,Digital Entertainment & Media,Entertainment - Advertising & Social Platforms,Secondary
FR,"First Industrial Realty Trust, Inc.",Real Estate & REITs,"Real Estate - E-Commerce, Warehousing & Logistics",Primary
FROG,Jfrog Ltd,Cloud Computing,"Cloud - DevOps, Observability",Primary
FROG,Jfrog Ltd,Software,"Software - Data, Analytics & DevOps",Secondary
FRSH,Freshworks Inc.,Software,"Software - Collaboration, CRM & Communications",Primary
FRT,Federal Realty Investment Trust,Real Estate & REITs,Real Estate - Retail & Consumer Real Estate,Primary
FSLR,"First Solar, Inc.",Energy - Renewable,Energy Clean - Solar,Primary
FSLR,"First Solar, Inc.",Nanotechnology,NanoTech - Energy & Environment,Secondary
FSLY,"Fastly, Inc.",Telecommunications,Telecom - Cloud & Edge Connectivity,Primary
FSLY,"Fastly, Inc.",Cloud Computing,Cloud - Data Centers & Infrastructure,Secondary
FTEK,"Fuel Tech, Inc.",Environmental Sustainability,Environmental - Clean Technologies & Pollution Control,Primary
FTI,Technipfmc Plc,Energy - Traditional,Energy Base - Oilfield Services & Equipment,Primary
FTNT,"Fortinet, Inc.",Industrial Automation & Robotics,"Automation - Industrial IoT, Connectivity",Primary
FTNT,"Fortinet, Inc.",Cybersecurity,Cybersecurity - Application Security,Secondary
FTV,Fortive Corp,Industrial Automation & Robotics,Automation - Industrial Sensors & Machine Vision,Primary
FTV,Fortive Corp,Hardware,Hardware - Industrial & IoT,Secondary
FWRD,Forward Air Corp,Transportation & Logistics,"Transportation - Logistics, Warehousing & Supply Chain Solutions",Primary
G,Genpact Limited,Business Services & Consulting,"Business Services - Outsourcing, Facilities & Testing",Primary
G,Genpact Limited,Artificial Intelligence,"AI - Apps, Domain-Specific AI",Secondary
GAP,"Gap, Inc.",Consumer Goods & Retail,Consumer - Apparel & E-Commerce Retail,Primary
GATX,GATX Corp,Transportation & Logistics,Transportation - Freight Rail & Infrastructure,Primary
GBCI,"Glacier Bancorp, Inc.",Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",Primary
GD,General Dynamics Corp,Defense & Aerospace,Defense - Cyber Defense & Electronic Warfare,Primary
GD,General Dynamics Corp,Defense & Aerospace,Defense - Secure Defense Supply Chains,Secondary
GDDY,Godaddy Inc.,E-commerce,E-commerce - Platforms,Primary
GDRX,"Goodrx Holdings, Inc.",Healthcare & Biotech,"Healthcare - IT, Services & Data Infrastructure",Primary
GE,General Electric Co,Defense & Aerospace,Defense - Next-Generation Aircraft & Maintenance,Primary
GE,General Electric Co,Defense & Aerospace,Defense - Secure Defense Supply Chains,Secondary
GEF,"Greif, Inc.",Industrials & Construction,Industrials - Packaging & Containers,Primary
GEHC,Ge Healthcare Technologies Inc.,Healthcare & Biotech,Healthcare - Medical Devices & HealthTech Hardware,Primary
GEHC,Ge Healthcare Technologies Inc.,Healthcare & Biotech,Healthcare - Senior Care & Longevity,Secondary
GEN,Gen Digital Inc.,Cybersecurity,"Cybersecurity - Endpoint, Identity & Zero Trust",Primary
GENI,Genius Sports Ltd,Digital Entertainment & Media,"Entertainment - Sports Betting, Wagering & Prediction Markets",Primary
GERN,Geron Corp,Healthcare & Biotech,Healthcare - Age-Related & Longevity Therapeutics,Primary
GEV,Ge Vernova Inc.,Energy - Traditional,Energy Base - Nuclear Power & Advanced Reactors,Primary
GEV,Ge Vernova Inc.,Energy - Renewable,Energy Clean - Smart Grid & Electrification,Secondary
GEVO,"Gevo, Inc.",Commodities - Energy,Comm Energy - Biofuels & Renewable Fuels,Primary
GEVO,"Gevo, Inc.",Energy - Renewable,Energy Clean - Fuels & Bioenergy,Secondary
GFI,Gold Fields Ltd,Commodities - Metals,Comm Metals - Gold,Primary
GFL,Gfl Environmental Inc.,Environmental Sustainability,Environmental - Waste Management & Recycling,Primary
GFS,Globalfoundries Inc.,Semiconductors,"Semis - Logic & CPUs, GPUs, Accelerators",Primary
GGG,Graco Inc.,Industrials & Construction,"Industrials - Machinery, Flow Control & Components",Primary
GGRP,"The Glimpse Group, Inc.",Hardware,Hardware - Next-Gen & Specialty,Primary
GH,"Guardant Health, Inc.",Healthcare & Biotech,"Healthcare - Diagnostics, Biomarkers & Liquid Biopsy",Primary
GH,"Guardant Health, Inc.",Healthcare & Biotech,Healthcare - Genomics & Personalized Medicine,Secondary
GHC,Graham Holdings Co,Education Technology,Education - Digital Curriculum,Primary
GHRS,Gh Research Plc,Healthcare & Biotech,"Healthcare - Regenerative Medicine, Psychedelics, Cannabis",Primary
GILD,"Gilead Sciences, Inc.",Healthcare & Biotech,Healthcare - Oncology & Precision Cancer Therapeutics,Primary
GILD,"Gilead Sciences, Inc.",Healthcare & Biotech,"Healthcare - Regenerative Medicine, Psychedelics, Cannabis",Secondary
GIS,General Mills Inc,Consumer Goods & Retail,"Consumer - Health, Food & Beverages",Primary
GL,Globe Life Inc.,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
